date,open,high,low,close,preclose,volume
2020/10/12,6016.700195,6037.100098,5995.100098,6001.399902,6001.399902,600961600
2020/10/13,6001.399902,6008,5950,5969.700195,5969.700195,786877800
2020/10/14,5969.700195,6009.799805,5926.5,5935.100098,5935.100098,613220800
2020/10/15,5935.100098,5935.100098,5786.200195,5832.5,5832.5,667215200
2020/10/16,5832.5,5933.799805,5832.5,5919.600098,5919.600098,669807200
2020/10/19,5919.600098,5959.700195,5872,5884.700195,5884.700195,522720700
2020/10/20,5884.700195,5915.5,5861.799805,5889.200195,5889.200195,576524900
2020/10/21,5889.200195,5903.399902,5769.600098,5776.5,5776.5,632347400
2020/10/22,5776.5,5796.399902,5716.399902,5785.700195,5785.700195,664916300
2020/10/23,5785.700195,5885.399902,5781.799805,5860.299805,5860.299805,852798000
2020/10/26,5860.299805,5868.399902,5782.399902,5792,5792,870052100
2020/10/27,5792,5806.200195,5728.200195,5729,5729,756732600
2020/10/28,5729,5729,5525.5,5582.799805,5582.799805,1107558600
2020/10/29,5582.799805,5616.600098,5534.700195,5581.799805,5581.799805,964959700
2020/10/30,5581.799805,5593.399902,5534.100098,5577.299805,5577.299805,823613300
2020/11/2,5577.299805,5665.299805,5554.700195,5655,5655,755064600
2020/11/3,5655,5787.600098,5655,5786.799805,5786.799805,803790300
2020/11/4,5786.799805,5885.700195,5711.200195,5883.299805,5883.299805,781517600
2020/11/5,5883.299805,5933.100098,5881.899902,5906.200195,5906.200195,900001200
2020/11/6,5906.200195,5950.200195,5858.5,5910,5910,848478100
2020/11/9,5910,6258.299805,5910,6186.299805,6186.299805,2067706200
2020/11/10,6186.299805,6307,6180.5,6296.899902,6296.899902,1717346100
2020/11/11,6296.899902,6397.299805,6293.200195,6382.100098,6382.100098,1283397300
2020/11/12,6382.100098,6382.100098,6295.799805,6338.899902,6338.899902,1014492200
2020/11/13,6338.899902,6339,6280.399902,6316.399902,6316.399902,1010712500
2020/11/16,6316.399902,6463.5,6316.399902,6421.299805,6421.299805,1293581100
